,Place Name,Place ID,Latitude,Longitude,Rating,Types,Vicinity,Formatted address,User Ratings Total
111,"Fox in the Chamber Cafe, Woodend",ChIJP00UGNod12oRa1GLcY5KI78,-37.3574937,144.5276383,4.7,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']","90 High St, Woodend",,107
112,Kaffeine bar,ChIJBR9gZ_bl1moRa_fSMKtPaCU,-37.4866686,144.5910998,4.6,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']","28B Aitken St, Gisborne",,58
113,3 Little Pigs,ChIJV4x5B6Pk1moR_mSHb2XlvJM,-37.4868083,144.5909583,4.4,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']","shop 1/30A Aitken St, Gisborne",,431
114,Woodberry Cafe Woodend,ChIJBUAETTsd12oRBoidGESkC60,-37.3565533,144.527221,4.2,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']","3B/81 High St, Woodend",,69
115,"Paysanne Cafe, Woodend",ChIJvQ5XPNod12oRplQWqAPxLXk,-37.356591,144.528153,4.7,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']","112 High St, Woodend",,157
116,Solatte,ChIJlWMvr6Pk1moRxpN6fqdK53s,-37.48645399999999,144.591134,4.2,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']","26C Aitken St, Gisborne",,61
117,The Hideout Cafe,ChIJFQey3tsd12oRuMkGnDJwha0,-37.3582,144.5276336,4.5,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']","Shop 4/Rear/80 High St, Woodend",,34
118,The Milko,ChIJmUI-Ftod12oRvhrIN-yI2v4,-37.35637639999999,144.528219,3.9,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']","118-126 High St, Woodend",,151
119,Gisborne BAKERY + CAFE,ChIJy_nM76Lk1moRKVPnkWE5lTo,-37.4869444,144.5891667,4.1,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']","38 Brantome St, Gisborne",,100
120,Andrews Cafe,ChIJncMwZcYd12oRwhUDM978vzE,-37.3571899,144.526993,4.0,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']","77 High St, Woodend",,2
121,Gisborne Bakehouse Cafe,ChIJRbnZqKPk1moRW8mmvGk5EXY,-37.4866686,144.5910998,3.8,"['bakery', 'cafe', 'food', 'point_of_interest', 'store', 'establishment']","Level 1/28B Aitken St, Gisborne",,12
122,Cosy Corner Cafe Woodend,ChIJn3vvo4Md12oRFS2q1IMqpfQ,-37.3582841,144.5275843,3.7,"['cafe', 'food', 'point_of_interest', 'establishment']","80 High St, Woodend",,3
123,Sheppards Choice Gourmet Kitchen,ChIJy9o9gZrl1moRbqij4DpgaG8,-37.488108,144.5897575,5.0,"['cafe', 'food', 'point_of_interest', 'establishment']","shop 10/45 Brantome St, Gisborne",,4
124,Canteena,ChIJXZbQoaLk1moRGySj-X2m1gM,-37.4869881,144.5879974,4.6,"['restaurant', 'cafe', 'food', 'point_of_interest', 'store', 'establishment']","Shop 2/18 Prince St, Gisborne",,103
125,Cibo E Vino | Italian Cafe Restaurant Gisborne,ChIJLx4rkZ_l1moR0YUz3m3q9EQ,-37.485994,144.5897359,4.0,"['grocery_or_supermarket', 'cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']","1/22 Brantome St, Gisborne",,42
126,Baringo Food & Wine Co.,ChIJE9wQ-znj1moRlB4NUuGNvTM,-37.4592904,144.5979016,4.4,"['restaurant', 'cafe', 'bar', 'food', 'point_of_interest', 'store', 'establishment']","283 Station Rd, New Gisborne",,362
127,Gis Donuts,ChIJHUpYkxbl1moR3BIu1uXj6Xs,-37.4863772,144.5891739,0.0,"['cafe', 'food', 'point_of_interest', 'establishment']","Unit 12/22 Brantome St, Gisborne",,0
128,MaisonMaloa Licenced Cafe and Gifts,ChIJaTs1F9od12oRsWN8LTa3Jlw,-37.3560003,144.5277743,3.9,"['grocery_or_supermarket', 'cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']","95 High St, Woodend",,106
129,VICS @ SEASONS,ChIJQRadZMj91moRH2K6dWQ2pTI,-37.46342300000001,144.677717,4.3,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']","4 Station St, Riddells Creek",,128
130,Dromkeen,ChIJm_d0jOP91moRb2670sNycGk,-37.4518648,144.6909434,4.7,"['art_gallery', 'tourist_attraction', 'cafe', 'food', 'point_of_interest', 'establishment']","1012 Kilmore Rd, Riddells Creek",,59
