,Place Name,Place ID,Latitude,Longitude,Rating,Types,Vicinity
3613,Traveller's Rest Hotel,ChIJq4G0fUGeKWsR7ZuS05jqN_s,-38.2881934,146.1757833,4.6,"['lodging', 'bar', 'point_of_interest', 'establishment']","Station Street, Thorpdale"
3614,Noodle Box Takeaway,ChIJdYs3bh6DKWsR0hwz_8rFebk,-38.4010892,146.1571492,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']","54C Ridgway, Mirboo North"
3615,Grand Ridge Brewery,ChIJPcj5q6VzKWsRO8Dfbim3oHQ,-38.4008598,146.1628112,3.9,"['restaurant', 'food', 'point_of_interest', 'establishment']","1 Baromi Rd, Mirboo North"
3616,Red Door Estate,ChIJFVghTO2DKWsRYR-LqZSW49k,-38.4529802,146.1805991,0.0,"['bar', 'point_of_interest', 'establishment']","175 Napier Rd, Mirboo North"
3617,Lamezleighs cafe & bar,ChIJq6oFEx6DKWsR9Ky2bGux2AY,-38.4012036,146.1576175,4.6,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']","62 Ridgway, Mirboo North"
3618,Mirboo North Hotel,ChIJH6aKIR6DKWsR4Fb00_4gnzI,-38.4012525,146.1581317,4.2,"['lodging', 'bar', 'point_of_interest', 'establishment']","70 Ridgway, Mirboo North"
3619,Noodle Box Takeaway,ChIJdYs3bh6DKWsR0hwz_8rFebk,-38.4010892,146.1571492,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']","54C Ridgway, Mirboo North"
3620,Grand Ridge Brewery,ChIJPcj5q6VzKWsRO8Dfbim3oHQ,-38.4008598,146.1628112,3.9,"['restaurant', 'food', 'point_of_interest', 'establishment']","1 Baromi Rd, Mirboo North"
3621,Cafe Escargot,ChIJB9Bne_eCKWsRHscFIkeZVq4,-38.417323,146.170426,4.6,"['restaurant', 'cafe', 'food', 'point_of_interest', 'store', 'establishment']","10 Old Nichols Rd, Mirboo North"
3622,Red Door Estate,ChIJFVghTO2DKWsRYR-LqZSW49k,-38.4529802,146.1805991,0.0,"['bar', 'point_of_interest', 'establishment']","175 Napier Rd, Mirboo North"
3623,Meeniyan Hotel,ChIJGeNE9pElKmsRFPuekjNnC8M,-38.5787006,146.0129276,4.4,"['bar', 'point_of_interest', 'establishment']","117 Whitelaw St, Meeniyan"
3624,Moo's at Meeniyan,ChIJycwGlY0lKmsRKdnxCcfmu54,-38.577865,146.01492,4.4,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']","89 Whitelaw St, Meeniyan"
3625,Trulli Woodfire Pizzeria,ChIJbzt9DJIlKmsRgtHSGg6Fe_I,-38.5780255,146.0142765,4.6,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']","93 Whitelaw St, Meeniyan"
3626,Bristol bar and Restaurant,ChIJZa-EGtUsKmsRsBjXX0ndjxc,-38.6525579,146.201578,3.9,"['restaurant', 'food', 'point_of_interest', 'establishment']","Main St, Foster"
3627,Fish Creek Hotel,ChIJSSTthw4xKmsR7Uk4hdtezZw,-38.6944658,146.0825936,4.3,"['lodging', 'bar', 'point_of_interest', 'establishment']","1 Old Waratah Rd, Fish Creek"
3628,Meeniyan Hotel,ChIJGeNE9pElKmsRFPuekjNnC8M,-38.5787006,146.0129276,4.4,"['bar', 'point_of_interest', 'establishment']","117 Whitelaw St, Meeniyan"
3629,Gibsons Licensed Cafe & Larder,ChIJAQAMmAgxKmsRGjQstDTirpQ,-38.6929495,146.0813868,4.7,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']","9 Falls Rd, Fish Creek"
3630,The Fish Creek Hotel,ChIJSSTthw4xKmsR6_qdFeiKVoU,-38.6945058,146.0826774,4.0,"['lodging', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","1 Old Waratah Rd, Fish Creek"
3631,The Meeniyan Store,ChIJbzt9DJIlKmsR7EW2EnQSf-Y,-38.5778222,146.0135607,4.8,"['grocery_or_supermarket', 'liquor_store', 'food', 'point_of_interest', 'store', 'establishment']","106 Whitelaw St, Meeniyan"
3632,Foster Exchange Hotel,ChIJvTGCHNUsKmsRKeRI4fFD_eE,-38.65238739999999,146.2014809,4.1,"['lodging', 'point_of_interest', 'establishment']","43 Main St, Foster"
3633,Promontory Restaurant and Winery,ChIJ45LGlistKmsRJuNbAu_xuVI,-38.6226204,146.168082,4.8,"['restaurant', 'food', 'point_of_interest', 'establishment']","23 Ogradys Ridge Rd, Foster North"
3634,Moo's at Meeniyan,ChIJycwGlY0lKmsRKdnxCcfmu54,-38.577865,146.01492,4.4,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']","89 Whitelaw St, Meeniyan"
3635,Gecko Studio Gallery,ChIJ524ukggxKmsR0WCYpJJFF_c,-38.69284409999999,146.0818667,4.8,"['cafe', 'art_gallery', 'food', 'point_of_interest', 'store', 'establishment']","15 Falls Rd, Fish Creek"
3636,Stony Creek Racing Club Inc,ChIJ0dAPmz8vKmsRsvMY8Ss-5Vc,-38.583413,146.0478783,4.4,"['point_of_interest', 'establishment']","S Gippsland Hwy &, Stony Creek-Dollar Rd, Stony Creek"
3637,Prom Coast H Hardware Fish Creek,ChIJoXLk8ggxKmsRNrUMjYQQHmw,-38.6927387,146.0822771,4.4,"['hardware_store', 'furniture_store', 'home_goods_store', 'point_of_interest', 'store', 'establishment']","21 Falls Rd, Fish Creek"
3638,FOSTER - Foster True Value Hardware,ChIJ12KtCdUsKmsRoiWJdd605KI,-38.6525651,146.2008204,4.3,"['hardware_store', 'point_of_interest', 'store', 'establishment']","38/42 Main St, Foster"
3639,Cellarbrations,ChIJS8QvB9UsKmsRT9K1lGd6TkE,-38.6520785,146.2008247,4.1,"['liquor_store', 'point_of_interest', 'store', 'establishment']","29 Main St, Foster"
